"patchX [cm]","patchY [cm]","Phi [deg]","Freq [GHz]","max(dB(GainTotal)) []"
1,0.5,0,13.75,7.16748114787485
1,0.5,0,14.5,6.4077964789963
1,0.5,0,16,4.36152158828717
1,0.5,0,17.5,7.05499696898418
1,0.5,0,19,8.23512590853089
1,0.5,0,20.5,5.05707262863103
1,0.5,0,21.25,1.88803399899979
1,0.5,0,22,1.65827368602571
1,0.5,0,22.75,2.84695929392342
1,0.5,0,23.5,3.87721138528914
1,0.5,0,24.25,4.30746031387829
1,0.5,0,25,3.90571302219576
1,0.6,0,1,-28.800476025044
1,0.6,0,2.5,-16.1141602433883
1,0.6,0,4,-7.0738484970504
1,0.6,0,5.5,2.04230193468532
1,0.6,0,7,4.87425893691111
1,0.6,0,8.5,5.40716812440431
1,0.6,0,10,5.5887226278199
1,0.6,0,11.5,4.32079555119489
1,0.6,0,13,6.49630838513947
1,0.6,0,13.75,7.05332018871778
1,0.6,0,14.5,5.31939838393809
1,0.6,0,15.25,2.63766323029737
1,0.6,0,16,3.01784482915219
1,0.6,0,17.5,5.34241501893507
1,0.6,0,18.25,6.34431269422354
1,0.6,0,19,6.55614423526558
1,0.6,0,19.75,5.59016244420537
1,0.6,0,20.5,2.96232151382414
1,0.6,0,22,1.73144424205385
1,0.6,0,23.5,2.03924312970345
1,0.6,0,24.25,1.66086318053699
1,0.6,0,25,0.912423239476071
1,0.7,0,1,-28.2962063126389
1,0.7,0,2.5,-15.6402445154064
1,0.7,0,4,-6.65986024954583
1,0.7,0,5.5,2.2624229037462
1,0.7,0,7,4.99490361115396
1,0.7,0,8.5,5.46420081645287
1,0.7,0,10,5.52430169640067
1,0.7,0,11.5,4.07722754407263
1,0.7,0,13,6.53761362564166
1,0.7,0,19,5.87797364017172
1,0.7,0,22,3.24939542454099
1,0.7,0,23.5,1.48550464867804
1,0.7,0,25,1.20001083383518
1,0.8,0,1,-27.7906973602307
1,0.8,0,4,-6.18610439468508
1,0.8,0,4.75,-0.987708188347097
1,0.8,0,5.5,2.54797674564003
1,0.8,0,7,5.1460680456308
1,0.8,0,8.5,5.51916805609523
1,0.8,0,10,5.39697221502609
1,0.8,0,11.5,3.55988535615353
1,0.8,0,12.25,4.80867078405205
1,0.8,0,13,5.40152131635513
1,0.8,0,13.75,2.35836836342045
1,0.8,0,14.5,0.831680346776883
1,0.8,0,16,-3.10705965904689
1,0.8,0,16.75,1.3303839373522
1,0.8,0,17.5,5.10562387682975
1,0.8,0,19,6.29879927862982
1,0.8,0,19.75,6.17230466884837
1,0.8,0,20.5,5.83992387150041
1,0.8,0,22,5.48852742533188
1,0.8,0,22.75,4.7652246547188
1,0.8,0,23.5,2.97865035916425
1,0.8,0,24.25,1.89816066096293
1,0.8,0,25,1.49658980534453
1,0.9,0,1,-27.4746031054124
1,0.9,0,1.75,-19.9709582380086
1,0.9,0,2.5,-14.8867082257442
1,0.9,0,4,-6.07428355189692
1,0.9,0,5.5,2.57646551822879
1,0.9,0,7,5.18911697555089
1,0.9,0,10,5.16887077615806
1,0.9,0,13,1.31190902528683
1,0.9,0,14.5,1.85052945971045
1,0.9,0,15.25,-1.79298073159744
1,0.9,0,16,-0.64682456465118
1,0.9,0,17.5,6.19196636947441
1,0.9,0,19,8.73150798882924
1,0.9,0,20.5,7.50908179309324
1,0.9,0,22,6.09811582389834
1,0.9,0,23.5,3.61551477507545
1,0.9,0,25,3.10960147308198
1,1,0,1,-27.0886671105393
1,1,0,1.75,-19.5919365065155
1,1,0,2.5,-14.5351862371065
1,1,0,4,-5.80362193524281
1,1,0,5.5,2.69164632957802
1,1,0,7,5.26287171863177
1,1,0,8.5,5.51693809846622
1,1,0,10,4.69954613291354
1,1,0,11.5,0.0930408253219077
1,1,0,13,3.81648363741301
1,1,0,14.5,3.28386567032727
1,1,0,15.25,0.198032796545432
1,1,0,16,1.86605998615419
1,1,0,17.5,6.57951668121228
1,1,0,19,9.42647767426492
1,1,0,19.75,9.11883098340518
1,1,0,20.5,8.03743238460825
1,1,0,22,6.5439203937847
1,1,0,23.5,3.98504122521923
1,1,0,25,3.70017020011344
1,1.1,0,1,-26.7609224254916
1,1.1,0,1.75,-19.2807141520146
1,1.1,0,2.5,-14.2343307262634
1,1.1,0,4,-5.58665289536774
1,1.1,0,5.5,2.78660800781689
1,1.1,0,7,5.33381802186552
1,1.1,0,8.5,5.48251809672998
1,1.1,0,10,3.84971784499022
1,1.1,0,10.75,1.26565306622991
1,1.1,0,11.5,-1.28549820524554
1,1.1,0,12.25,3.78676430751196
1,1.1,0,13,5.54801952560066
1,1.1,0,13.75,5.43917721298489
1,1.1,0,14.5,4.36920843151823
1,1.1,0,15.25,1.83954423873368
1,1.1,0,16,2.62355499110535
1,1.1,0,16.75,3.70298020830034
1,1.1,0,17.5,7.5857111037415
1,1.1,0,19,9.81244652755864
1,1.1,0,19.75,9.56113434102582
1,1.1,0,20.5,8.45539371305768
1,1.1,0,22,6.37241043142431
1,1.1,0,22.75,5.35017706215936
1,1.1,0,23.5,4.37415235831738
1,1.1,0,24.25,4.01977409572811
1,1.1,0,25,4.02410001882632
1,1.2,0,1,-26.4262967935782
1,1.2,0,1.75,-18.9591573806407
1,1.2,0,2.5,-13.9438359931857
1,1.2,0,4,-5.43635507809363
1,1.2,0,5.5,2.84927358000324
1,1.2,0,7,5.39935072240435
1,1.2,0,8.5,5.34039556858297
1,1.2,0,10,1.84056524762859
1,1.2,0,10.75,-2.23858687365684
1,1.2,0,11.5,2.71529907797463
1,1.2,0,12.25,5.63174379792969
1,1.2,0,13,6.3084699386249
1,1.2,0,13.75,6.14176155778951
1,1.2,0,14.5,5.18762863006141
1,1.2,0,15.25,3.01126219945951
1,1.2,0,16,1.71274515581773
1,1.2,0,16.75,5.33787532238455
1,1.2,0,17.5,7.98764202814583
1,1.2,0,19,9.78482918063566
1,1.2,0,20.5,8.47181248126003
1,1.2,0,21.25,6.73775113544593
1,1.2,0,22,5.45705171647129
1,1.2,0,23.5,5.02603625300485
1,1.2,0,24.25,4.68968879155197
1,1.2,0,25,4.716956801725
1,1.3,0,1,-26.1453692850067
1,1.3,0,2.5,-13.7007273013944
1,1.3,0,4,-5.28660643951581
1,1.3,0,5.5,2.88042762315488
1,1.3,0,7,5.43146379249749
1,1.3,0,8.5,5.08239468287699
1,1.3,0,10,-1.73169581354703
1,1.3,0,10.75,-0.114953494625713
1,1.3,0,11.5,4.41187577498323
1,1.3,0,13,6.73140031845513
1,1.3,0,13.75,6.70075106343385
1,1.3,0,14.5,5.90506936551252
1,1.3,0,15.25,3.26957460230325
1,1.3,0,16,0.705932236619062
1,1.3,0,16.75,5.85132816025335
1,1.3,0,17.5,7.96046487008352
1,1.3,0,18.25,8.95759273846742
1,1.3,0,19,9.17775318969673
1,1.3,0,20.5,7.99666792008692
1,1.3,0,21.25,5.59743227465125
1,1.3,0,22,6.41359392626307
1,1.3,0,23.5,5.97664737890674
1,1.3,0,24.25,5.71027093158691
1,1.3,0,25,5.36945184897308
1,1.4,0,1,-25.8885035971735
1,1.4,0,2.5,-13.4637749370096
1,1.4,0,4,-5.14438580436627
1,1.4,0,5.5,2.90607202788335
1,1.4,0,7,5.44393907662501
1,1.4,0,8.5,4.60092586795459
1,1.4,0,9.25,0.311965507278719
1,1.4,0,10,-3.00924772176788
1,1.4,0,10.75,2.62226469169624
1,1.4,0,11.5,4.97932292303965
1,1.4,0,13,6.91851506005496
1,1.4,0,13.375,7.00438291621823
1,1.4,0,13.75,6.95631216228616
1,1.4,0,14.5,5.67235318738174
1,1.4,0,15.25,2.23967762590674
1,1.4,0,16,2.33160989641107
1,1.4,0,16.75,5.79436076441578
1,1.4,0,17.5,7.34316066472506
1,1.4,0,19,9.32886383546112
1,1.4,0,20.5,6.61158843615493
1,1.4,0,21.25,6.6875707958907
1,1.4,0,22,7.85673358558136
1,1.4,0,22.75,7.5258035678062
1,1.4,0,23.5,6.57494036486413
1,1.4,0,24.25,6.094430305028
1,1.4,0,25,5.50679148940069
1,1.5,0,1,-25.608413465706
1,1.5,0,1.75,-18.1736348470617
1,1.5,0,2.5,-13.2186673120349
1,1.5,0,4,-4.95657437304307
1,1.5,0,5.5,2.98803590808834
1,1.5,0,7,5.51539928196521
1,1.5,0,8.5,3.48198713348749
1,1.5,0,9.25,-5.2287650460079
1,1.5,0,10,0.29809938334998
1,1.5,0,10.75,4.25360103493626
1,1.5,0,11.5,5.2885141288549
1,1.5,0,13,7.0931944442545
1,1.5,0,13.1875,7.1368414576804
1,1.5,0,13.375,7.13537876245467
1,1.5,0,13.75,6.90209847692381
1,1.5,0,14.5,4.36265239721095
1,1.5,0,15.25,1.30464955916478
1,1.5,0,16,2.86979355773839
1,1.5,0,16.75,5.04798463592339
1,1.5,0,17.5,5.33657575268891
1,1.5,0,18.25,8.84419809278461
1,1.5,0,19,9.53597861348182
1,1.5,0,19.75,8.22315648266428
1,1.5,0,20.5,6.8363651276935
1,1.5,0,22,8.06084155025084
1,1.5,0,22.75,7.13943327248103
1,1.5,0,23.5,6.17480261487025
1,1.5,0,25,5.35751790130012
1,1.6,0,1,-25.3160108613156
1,1.6,0,2.5,-12.9704404770798
1,1.6,0,4,-4.82591937003438
1,1.6,0,5.5,3.01436988237985
1,1.6,0,7,5.52843803117841
1,1.6,0,8.5,0.470188509659661
1,1.6,0,9.25,-3.71530236852872
1,1.6,0,10,2.74653511152013
1,1.6,0,11.5,5.3488047303071
1,1.6,0,12.25,6.52890954802364
1,1.6,0,13,6.86301586556676
1,1.6,0,13.75,5.55912931207788
1,1.6,0,14.5,3.63117564229954
1,1.6,0,16,1.91019854451623
1,1.6,0,16.75,1.75601084865021
1,1.6,0,17.5,7.46247695476408
1,1.6,0,17.875,8.70552775305514
1,1.6,0,18.25,9.18957325528883
1,1.6,0,19,9.05165104183762
1,1.6,0,19.375,8.22055215495017
1,1.6,0,19.75,7.37901194856746
1,1.6,0,20.5,7.86638036514574
1,1.6,0,21.25,8.44622936192441
1,1.6,0,22,8.06766867366998
1,1.6,0,22.75,7.12362225430381
1,1.6,0,23.5,5.4920552565464
1,1.6,0,24.25,4.71542664916155
1,1.6,0,25,4.59167942789705
1,1.7,0,1,-25.0260552360848
1,1.7,0,1.75,-17.6164997332593
1,1.7,0,2.5,-12.7337923215781
1,1.7,0,4,-4.6935722155472
1,1.7,0,5.5,3.0695916885162
1,1.7,0,7,5.55805959736021
1,1.7,0,8.5,-7.16772621682288
1,1.7,0,9.25,0.45754270214764
1,1.7,0,10,4.17617825854811
1,1.7,0,10.75,5.55081655100164
1,1.7,0,11.5,5.52389643947663
1,1.7,0,13,5.90818811545305
1,1.7,0,13.75,4.50322866198712
1,1.7,0,14.5,3.42685440307969
1,1.7,0,16,-1.09142321074011
1,1.7,0,16.375,0.263267220936992
1,1.7,0,16.75,4.90729724954549
1,1.7,0,17.5,8.23265826284897
1,1.7,0,18.25,8.9000977827379
1,1.7,0,19,7.96264013462138
1,1.7,0,20.5,8.60149843541304
1,1.7,0,22,7.81896457077126
1,1.7,0,22.75,6.01300483129794
1,1.7,0,23.5,4.88738310126208
1,1.7,0,25,3.63285684979151
1,1.8,0,1,-24.7371339737396
1,1.8,0,1.75,-17.3425252367006
1,1.8,0,2.5,-12.4849821332511
1,1.8,0,4,-4.53634331606973
1,1.8,0,5.5,3.11556462030898
1,1.8,0,7,5.50898977787852
1,1.8,0,8.5,-5.8660364987574
1,1.8,0,9.25,2.51227312413332
1,1.8,0,10,4.78473871718166
1,1.8,0,11.5,5.44863262461965
1,1.8,0,12.25,5.52937745582708
1,1.8,0,13,4.61333286040704
1,1.8,0,14.5,3.03134097347191
1,1.8,0,15.25,-4.00591491307401
1,1.8,0,16,0.755798058958195
1,1.8,0,16.75,6.52942846441995
1,1.8,0,17.5,8.22188168873814
1,1.8,0,19,7.1666702244053
1,1.8,0,20.5,8.69362323445539
1,1.8,0,22,6.51505995579486
1,1.8,0,23.5,4.18445329764628
1,1.8,0,25,1.64241392215105
1,1.9,0,1,-24.4767342157535
1,1.9,0,1.75,-17.0880214918166
1,1.9,0,2.5,-12.2426494842801
1,1.9,0,4,-4.45491337950829
1,1.9,0,5.5,3.08437149187352
1,1.9,0,7,5.42510936958332
1,1.9,0,8.5,-1.35458320549611
1,1.9,0,10,5.15296043904707
1,1.9,0,11.5,5.55802913640045
1,1.9,0,12.25,5.35874206137805
1,1.9,0,12.625,5.55805635382159
1,1.9,0,13,5.36096236617054
1,1.9,0,13.75,4.716111162382
1,1.9,0,14.5,2.69545570160464
1,1.9,0,15.25,-5.32500923629511
1,1.9,0,16,3.19881437850735
1,1.9,0,16.75,6.69862372699199
1,1.9,0,17.5,7.81329974684178
1,1.9,0,19,8.42053224261654
1,1.9,0,20.5,9.05984205616642
1,1.9,0,22,5.55574245278327
1,1.9,0,23.5,3.6548749719286
1,1.9,0,25,-0.303194148951389
1,1.91,0,1,-24.4400451855482
1,1.91,0,1.75,-17.0540931622083
1,1.91,0,2.5,-12.2350770003453
1,1.91,0,4,-4.51197477156705
1,1.91,0,5.5,3.09151305528639
1,1.91,0,7,5.44491867600752
1,1.91,0,8.5,-1.11041746704085
1,1.91,0,10,5.22370478412625
1,1.91,0,11.5,5.60233497636213
1,1.91,0,12.25,5.43420803040144
1,1.91,0,12.625,5.60010052398808
1,1.91,0,13,5.37476045180099
1,1.91,0,13.375,5.02317905809064
1,1.91,0,13.75,4.62295356735278
1,1.91,0,14.5,2.63236943909017
1,1.91,0,15.25,-5.58176251818953
1,1.91,0,16,3.32045789427861
1,1.91,0,16.75,6.76034956485264
1,1.91,0,17.5,7.84193245077412
1,1.91,0,19,8.61665729719773
1,1.91,0,20.5,9.00192091304586
1,1.91,0,22,5.32373826634752
1,1.91,0,23.5,3.57758678292236
1,1.91,0,25,-0.830206693066494
1.1,0.5,0,1,-28.8301057381095
1.1,0.5,0,1.75,-21.2450760119906
1.1,0.5,0,2.5,-16.0268065285803
1.1,0.5,0,4,-6.53849723605718
1.1,0.5,0,5.5,2.51941532086624
1.1,0.5,0,7,4.89620770144209
1.1,0.5,0,10,5.39001864571109
1.1,0.5,0,11.5,5.16134362317425
1.1,0.5,0,12.25,6.29222616338244
1.1,0.5,0,13,6.70206780894959
1.1,0.5,0,14.5,3.73365437189813
1.1,0.5,0,16,5.86481128026354
1.1,0.5,0,17.5,8.15310665723408
1.1,0.5,0,19,7.33291864170023
1.1,0.5,0,22,2.53668678952009
1.1,0.5,0,23.5,3.66878429727915
1.1,0.5,0,24.25,3.5065163866062
1.1,0.5,0,25,2.38254497443652
1.1,0.6,0,1,-28.3077392362804
1.1,0.6,0,1.75,-20.7398811835129
1.1,0.6,0,2.5,-15.5598507901673
1.1,0.6,0,4,-6.17791943344701
1.1,0.6,0,5.5,2.72636152740747
1.1,0.6,0,7,5.05859811027921
1.1,0.6,0,8.5,5.05488057862563
1.1,0.6,0,10,5.35677760918357
1.1,0.6,0,11.5,5.15403478266847
1.1,0.6,0,12.25,6.42214137718425
1.1,0.6,0,12.625,6.63130657555307
1.1,0.6,0,13,6.35904151945916
1.1,0.6,0,14.5,2.94575401948293
1.1,0.6,0,16,4.59530652940024
1.1,0.6,0,17.5,7.21287250352676
1.1,0.6,0,18.25,6.21910252724178
1.1,0.6,0,19,4.07745327839384
1.1,0.6,0,19.75,1.34782067485503
1.1,0.6,0,20.5,0.523101466720925
1.1,0.6,0,22,2.81755016564099
1.1,0.6,0,23.5,1.8353229472495
1.1,0.6,0,24.25,0.733507798505488
1.1,0.6,0,25,-0.06313728508641
1.1,0.7,0,1,-27.7944262616015
1.1,0.7,0,2.5,-15.0791896845712
1.1,0.7,0,4,-5.80828063217731
1.1,0.7,0,5.5,2.91215983284131
1.1,0.7,0,7,5.14987128463072
1.1,0.7,0,8.5,5.05378005862038
1.1,0.7,0,10,5.25673359403531
1.1,0.7,0,10.75,5.40574923909972
1.1,0.7,0,11.5,5.37450347118965
1.1,0.7,0,12.25,6.50362365478652
1.1,0.7,0,12.625,6.18214239646852
1.1,0.7,0,13,5.02735512665615
1.1,0.7,0,13.75,2.44931985201571
1.1,0.7,0,14.5,1.72319674765983
1.1,0.7,0,15.25,0.881560984727901
1.1,0.7,0,16,1.92965238276879
1.1,0.7,0,17.5,5.17680028912362
1.1,0.7,0,18.25,3.3498334147127
1.1,0.7,0,19,3.0395061340988
1.1,0.7,0,19.75,2.52186031678488
1.1,0.7,0,20.5,1.58321245797402
1.1,0.7,0,21.25,3.43655434361874
1.1,0.7,0,22,4.55801392009019
1.1,0.7,0,23.5,2.34123231878579
1.1,0.7,0,24.25,-0.725417982894389
1.1,0.7,0,25,-0.312754107279827
1.1,0.8,0,1,-27.3914281242022
1.1,0.8,0,1.75,-19.8537058464336
1.1,0.8,0,2.5,-14.7212782779129
1.1,0.8,0,4,-5.53193021843736
1.1,0.8,0,5.5,3.06749975953657
1.1,0.8,0,7,5.27177707885089
1.1,0.8,0,8.5,5.06550186545443
1.1,0.8,0,10,5.13022030229071
1.1,0.8,0,11.5,5.4567352604313
1.1,0.8,0,11.875,6.12425016397503
1.1,0.8,0,12.25,5.80249430442738
1.1,0.8,0,13,1.80008211166965
1.1,0.8,0,14.5,-0.255772974673177
1.1,0.8,0,16,0.404057103491816
1.1,0.8,0,16.75,5.31370924460271
1.1,0.8,0,17.5,4.65861229938549
1.1,0.8,0,17.875,3.94542799088067
1.1,0.8,0,18.25,3.94912790629382
1.1,0.8,0,19,5.03959349274805
1.1,0.8,0,20.5,4.86807815112755
1.1,0.8,0,22,5.49177891110587
1.1,0.8,0,23.5,3.64319995738125
1.1,0.8,0,24.25,0.965124320964861
1.1,0.8,0,25,1.05731820055386
1.1,0.9,0,1,-27.0052420079996
1.1,0.9,0,1.75,-19.4863547153838
1.1,0.9,0,2.5,-14.3794157637404
1.1,0.9,0,4,-5.3060056376562
1.1,0.9,0,7,5.31839680242625
1.1,0.9,0,8.5,4.96713598576818
1.1,0.9,0,10,4.81761309401457
1.1,0.9,0,13,-1.0249382887529
1.1,0.9,0,14.5,-0.610311318287999
1.1,0.9,0,16,3.43617476873348
1.1,0.9,0,17.5,4.79674571879624
1.1,0.9,0,19,7.95130386275977
1.1,0.9,0,20.5,6.18559396483747
1.1,0.9,0,22,5.78823789061109
1.1,0.9,0,23.5,4.79919530339645
1.1,0.9,0,25,2.57775507354279
1.1,1,0,1,-26.7313081166308
1.1,1,0,2.5,-14.1399524578216
1.1,1,0,4,-5.16882211777971
1.1,1,0,7,5.40678227773499
1.1,1,0,8.5,4.95303462223502
1.1,1,0,10,4.29705582574852
1.1,1,0,11.5,1.92932605107812
1.1,1,0,13,1.82837979728931
1.1,1,0,14.5,1.04938349120461
1.1,1,0,16,5.21477859434006
1.1,1,0,17.5,7.92046059053508
1.1,1,0,19,9.32013938253098
1.1,1,0,22,5.86422534442684
1.1,1,0,25,3.42344433241172
1.1,1.1,0,1,-26.359642182595
1.1,1.1,0,2.5,-13.8137752937987
1.1,1.1,0,4,-4.96084989968322
1.1,1.1,0,5.5,3.33224508074465
1.1,1.1,0,7,5.46156136874129
1.1,1.1,0,8.5,4.75359146755834
1.1,1.1,0,10,3.23509734431548
1.1,1.1,0,11.5,3.57247683455383
1.1,1.1,0,13,3.80647684651976
1.1,1.1,0,14.5,2.27814633499298
1.1,1.1,0,16,5.86194144949532
1.1,1.1,0,17.5,9.0146512783287
1.1,1.1,0,19,9.60718795659765
1.1,1.1,0,20.5,7.22184291875647
1.1,1.1,0,22,5.50051936965005
1.1,1.1,0,25,3.63569057677653
1.1,1.2,0,1,-26.1121226875446
1.1,1.2,0,2.5,-13.6011355351797
1.1,1.2,0,4,-4.89423342573663
1.1,1.2,0,5.5,3.3479051591546
1.1,1.2,0,7,5.49066537035409
1.1,1.2,0,8.5,4.48366742931961
1.1,1.2,0,10,1.188027595417
1.1,1.2,0,10.75,1.03563907131701
1.1,1.2,0,11.5,5.37050538859891
1.1,1.2,0,13,5.1215667398689
1.1,1.2,0,13.75,4.72816453609426
1.1,1.2,0,14.5,3.59591419231813
1.1,1.2,0,16,6.08711059583743
1.1,1.2,0,17.5,9.25808653233833
1.1,1.2,0,19,9.5443936977572
1.1,1.2,0,19.75,8.74688998573063
1.1,1.2,0,20.5,6.93205742715774
1.1,1.2,0,22,5.20377944567814
1.1,1.2,0,23.5,4.11759176368623
1.1,1.2,0,24.25,3.61076382567013
1.1,1.2,0,25,4.19484097415771
1.1,1.3,0,1,-25.8162519341751
1.1,1.3,0,1.75,-18.3532931586342
1.1,1.3,0,2.5,-13.3459491914182
1.1,1.3,0,4,-4.77215958225561
1.1,1.3,0,7,5.53418951527502
1.1,1.3,0,8.5,4.0589821941038
1.1,1.3,0,10,-2.27966424615502
1.1,1.3,0,10.75,3.85676407433859
1.1,1.3,0,11.5,5.73598294014513
1.1,1.3,0,13,5.96531095950384
1.1,1.3,0,13.375,5.85549173880462
1.1,1.3,0,13.75,5.64820599635506
1.1,1.3,0,14.5,4.31641240997519
1.1,1.3,0,15.25,1.4515118464084
1.1,1.3,0,16,6.32636535155437
1.1,1.3,0,16.75,8.37389406172106
1.1,1.3,0,17.5,9.31535378605057
1.1,1.3,0,18.25,9.4582636838342
1.1,1.3,0,19,9.36057419381597
1.1,1.3,0,19.75,8.16056025589137
1.1,1.3,0,20.5,4.96768915522212
1.1,1.3,0,21.25,4.67449750368447
1.1,1.3,0,22,6.58219637905556
1.1,1.3,0,23.5,5.59940554552253
1.1,1.3,0,24.25,5.45363881127382
1.1,1.3,0,25,5.49368022228006
1.1,1.4,0,1,-25.5293858449259
1.1,1.4,0,1.75,-18.0800288430358
1.1,1.4,0,2.5,-13.1057342794943
1.1,1.4,0,4,-4.61441492444329
1.1,1.4,0,5.5,3.45135615555613
1.1,1.4,0,7,5.56462106546838
1.1,1.4,0,8.5,3.19204623560123
1.1,1.4,0,9.25,-2.01474112703927
1.1,1.4,0,10,-0.493659160387646
1.1,1.4,0,11.5,6.04291293600041
1.1,1.4,0,12.25,6.51401798315515
1.1,1.4,0,12.625,6.58390939398382
1.1,1.4,0,13,6.59024830799665
1.1,1.4,0,13.375,6.46185458517882
1.1,1.4,0,13.75,6.05535554512463
1.1,1.4,0,14.5,3.59766843294634
1.1,1.4,0,15.25,2.99123206964417
1.1,1.4,0,16,6.51688147474199
1.1,1.4,0,17.5,8.92242627651166
1.1,1.4,0,18.25,9.26063972538706
1.1,1.4,0,19,9.14392769512148
1.1,1.4,0,19.75,6.43986059354757
1.1,1.4,0,20.5,4.47707625536969
1.1,1.4,0,22,7.72776709246819
1.1,1.4,0,22.75,6.77188276060697
1.1,1.4,0,23.5,6.01962226373042
1.1,1.4,0,25,5.81893002523704
1.1,1.5,0,1,-25.2806688756239
1.1,1.5,0,2.5,-12.8979812863953
1.1,1.5,0,4,-4.47560126208578
1.1,1.5,0,5.5,3.51854426707154
1.1,1.5,0,7,5.56730237357609
1.1,1.5,0,8.5,1.37820161763089
1.1,1.5,0,9.25,-5.63102595088234
1.1,1.5,0,10,2.40647538426461
1.1,1.5,0,10.75,5.66539935217884
1.1,1.5,0,11.5,6.23403826478095
1.1,1.5,0,11.875,6.60814679274332
1.1,1.5,0,12.25,6.82053258377283
1.1,1.5,0,13,6.86077511405858
1.1,1.5,0,13.75,5.08883289800558
1.1,1.5,0,14.5,2.94452398701289
1.1,1.5,0,15.25,3.5187538792068
1.1,1.5,0,16,6.25603044005751
1.1,1.5,0,17.5,8.81752132376915
1.1,1.5,0,18.25,9.47496839568638
1.1,1.5,0,19,8.05649123654963
1.1,1.5,0,19.75,4.71556594392572
1.1,1.5,0,20.5,6.81656268769574
1.1,1.5,0,20.875,7.73995443886682
1.1,1.5,0,21.25,8.20394050635789
1.1,1.5,0,22,7.73471595002729
1.1,1.5,0,22.75,6.80914243901376
1.1,1.5,0,23.5,5.76827392747599
1.1,1.5,0,25,5.53875089549152
1.1,1.6,0,1,-24.9770270707055
1.1,1.6,0,2.5,-12.6261064637049
1.1,1.6,0,4,-4.28926489452297
1.1,1.6,0,7,5.55867135290426
1.1,1.6,0,13,6.33521462240203
1.1,1.6,0,16,5.19650458330303
1.1,1.6,0,17.5,9.3636307305535
1.1,1.6,0,19,5.95666019616614
1.1,1.6,0,22,7.86495297721648
1.1,1.6,0,23.5,5.00882416268698
1.1,1.6,0,24.25,5.08999232237089
1.1,1.6,0,25,4.87658449129097
1.1,1.7,0,1,-24.6925035517772
1.1,1.7,0,2.5,-12.4033432600869
1.1,1.7,0,4,-4.19050666844254
1.1,1.7,0,7,5.4354539894952
1.1,1.7,0,13,4.91970754075804
1.1,1.7,0,16,2.6558495729775
1.1,1.7,0,19,6.50264218249078
1.1,1.7,0,22,7.40514907196529
1.1,1.7,0,23.5,3.94883255442836
1.1,1.7,0,25,2.46915686360753
1.1,1.8,0,1,-24.3888988063661
1.1,1.8,0,2.5,-12.1528634179957
1.1,1.8,0,4,-4.06909230418743
1.1,1.8,0,4.75,0.658765385723382
1.1,1.8,0,5.5,3.71290552060102
1.1,1.8,0,7,5.26041542948164
1.1,1.8,0,8.5,-4.94788825260992
1.1,1.8,0,10,5.27885916968653
1.1,1.8,0,10.75,6.15364299587244
1.1,1.8,0,11.5,6.50840288113866
1.1,1.8,0,12.25,5.70641503075766
1.1,1.8,0,12.625,4.88389002799027
1.1,1.8,0,13,4.72938509625133
1.1,1.8,0,13.75,4.1468431557312
1.1,1.8,0,14.5,1.79562611289606
1.1,1.8,0,15.25,-1.16189232166308
1.1,1.8,0,16,5.70559015197844
1.1,1.8,0,16.75,8.70101688701561
1.1,1.8,0,17.5,8.76859256408796
1.1,1.8,0,18.25,6.97026319151376
1.1,1.8,0,19,7.87384785044709
1.1,1.8,0,19.75,8.95715723520431
1.1,1.8,0,20.5,8.99568744226901
1.1,1.8,0,20.875,8.77486163494251
1.1,1.8,0,21.25,8.38504825324893
1.1,1.8,0,22,6.71308482483782
1.1,1.8,0,23.5,3.57581665198196
1.1,1.8,0,24.25,2.64283264343341
1.1,1.8,0,25,1.94759475840539
1.1,1.9,0,1,-24.1514088900867
1.1,1.9,0,1.75,-16.7626612912444
1.1,1.9,0,2.5,-11.9281727091985
1.1,1.9,0,4,-3.87586458918087
1.1,1.9,0,5.5,3.77670589804843
1.1,1.9,0,7,4.95363661883748
1.1,1.9,0,8.5,-1.71623326184198
1.1,1.9,0,10,5.5087890560709
1.1,1.9,0,11.5,6.04039628940277
1.1,1.9,0,13,4.95879006002167
1.1,1.9,0,14.5,1.18766346765751
1.1,1.9,0,15.25,-0.484957041740097
1.1,1.9,0,16,6.61046954401151
1.1,1.9,0,16.75,8.59723590301749
1.1,1.9,0,17.5,7.85081514203789
1.1,1.9,0,18.25,6.54068122699782
1.1,1.9,0,19,8.86017482075576
1.1,1.9,0,19.75,9.17270059991265
1.1,1.9,0,20.5,8.95534484211752
1.1,1.9,0,22,6.80806430350496
1.1,1.9,0,22.75,3.69955666651662
1.1,1.9,0,23.5,1.7636927128993
1.1,1.9,0,24.25,2.38789362537404
1.1,1.9,0,25,1.66791648319853
1.1,1.91,0,1,-24.1107791975801
1.1,1.91,0,1.75,-16.7281697294498
1.1,1.91,0,2.5,-11.8926973950121
1.1,1.91,0,4,-3.88246584748164
1.1,1.91,0,5.5,3.77532097892552
1.1,1.91,0,7,4.93588890194992
1.1,1.91,0,8.5,-1.64071956275038
1.1,1.91,0,9.25,3.40330671766726
1.1,1.91,0,10,5.46592355453896
1.1,1.91,0,11.5,5.97007425465373
1.1,1.91,0,12.25,5.47625981915007
1.1,1.91,0,13,4.99430755364302
1.1,1.91,0,13.375,4.75943440614279
1.1,1.91,0,13.75,4.27503426708506
1.1,1.91,0,14.5,1.28557202716645
1.1,1.91,0,15.25,-0.526710014228865
