"patchX [cm]","patchY [cm]","Phi [deg]","Freq [GHz]","max(dB(GainTotal)) []"
0.5,1.3,0,12.25,4.946705481713
0.5,1.3,0,13,5.46939130692481
0.5,1.3,0,14.5,6.36135192697342
0.5,1.3,0,15.25,6.3693473520647
0.5,1.3,0,16,6.04370223544917
0.5,1.3,0,17.5,5.80430261715736
0.5,1.3,0,18.25,5.95373094441549
0.5,1.3,0,19,5.77130332310149
0.5,1.3,0,20.5,1.70517510044784
0.5,1.3,0,20.875,0.72946748611508
0.5,1.3,0,21.25,-0.180339712406216
0.5,1.3,0,22,-2.9661510563154
0.5,1.3,0,23.5,-1.08011752939386
0.5,1.3,0,24.25,-1.0617335460813
0.5,1.3,0,25,0.179863052932548
0.5,1.4,0,1,-28.2445296590066
0.5,1.4,0,2.5,-15.7826361015516
0.5,1.4,0,4,-7.84926107955641
0.5,1.4,0,7,2.2717594024689
0.5,1.4,0,8.5,2.33800674928818
0.5,1.4,0,10,-0.33337330510165
0.5,1.4,0,11.5,4.68927441090273
0.5,1.4,0,12.25,5.77378340794706
0.5,1.4,0,13,5.99761113071184
0.5,1.4,0,14.5,6.73890184759225
0.5,1.4,0,16,6.36236347273922
0.5,1.4,0,17.5,5.13002790417021
0.5,1.4,0,19,4.6661451733543
0.5,1.4,0,20.5,0.421129392631264
0.5,1.4,0,22,-1.65552561467233
0.5,1.4,0,23.5,0.743321648364339
0.5,1.4,0,24.25,0.827793569775721
0.5,1.4,0,25,0.415388701476275
0.5,1.5,0,1,-27.9940649352346
0.5,1.5,0,2.5,-15.5620902642625
0.5,1.5,0,4,-7.78593599023313
0.5,1.5,0,7,1.89086900832633
0.5,1.5,0,8.5,1.1720926859623
0.5,1.5,0,9.25,-0.877729203629427
0.5,1.5,0,10,-6.49047875432948
0.5,1.5,0,11.5,5.59007267933674
0.5,1.5,0,13,6.19336148959178
0.5,1.5,0,14.5,6.84317681442747
0.5,1.5,0,16,6.32690579180062
0.5,1.5,0,16.75,5.11495297864461
0.5,1.5,0,17.5,4.84585739403037
0.5,1.5,0,19,1.64711934999808
0.5,1.5,0,19.75,1.43417577459058
0.5,1.5,0,20.5,-0.0866252294100907
0.5,1.5,0,22,-0.626628224099887
0.5,1.5,0,23.5,1.15822781440956
0.5,1.5,0,25,1.01709659822302
0.5,1.6,0,1,-27.6804670723039
0.5,1.6,0,2.5,-15.2869033249142
0.5,1.6,0,4,-7.69051835066833
0.5,1.6,0,7,1.39157868221917
0.5,1.6,0,8.5,-0.786173049707659
0.5,1.6,0,9.25,-7.02647600641897
