"patchX [cm]","patchY [cm]","Freq [GHz]","dB(St11) []"
0.5,0.5,18.2121212121212,-8.36579581669748
0.5,0.5,18.4545454545455,-7.80169939357499
0.5,0.5,18.6969696969697,-7.31569234968135
0.5,0.5,18.9393939393939,-6.90718363437464
0.5,0.5,19.1818181818182,-6.57536739906431
0.5,0.5,19.4242424242424,-6.32006402861111
0.5,0.5,19.6666666666667,-6.14278287798663
0.5,0.5,19.9090909090909,-6.04822821175233
0.5,0.5,20.1515151515152,-6.04636167839202
0.5,0.5,20.3939393939394,-6.1547041472474
0.5,0.5,20.6363636363636,-6.39914187439719
0.5,0.5,20.8787878787879,-6.80802499545295
0.5,0.5,21.1212121212121,-7.38958207025508
0.5,0.5,21.3636363636364,-8.08788397850808
0.5,0.5,21.6060606060606,-8.7526064457039
0.5,0.5,21.8484848484848,-9.20351338529913
0.5,0.5,22.0909090909091,-9.36968718407791
0.5,0.5,22.3333333333333,-9.32188144464717
0.5,0.5,22.5757575757576,-9.17304074768122
0.5,0.5,22.8181818181818,-9.00220514440635
0.5,0.5,23.0606060606061,-8.84673605536555
0.5,0.5,23.3030303030303,-8.71873709832384
0.5,0.5,23.5454545454545,-8.61882140113914
0.5,0.5,23.7878787878788,-8.54344016586841
0.5,0.5,24.030303030303,-8.48811091847393
0.5,0.5,24.2727272727273,-8.44865143410701
0.5,0.5,24.5151515151515,-8.42155287511771
0.5,0.5,24.7575757575758,-8.40401309000008
0.5,0.5,25,-8.39385245764853
0.5,0.6,1,-0.106340298307611
0.5,0.6,1.24242424242424,-0.12137511600093
0.5,0.6,1.48484848484849,-0.13829017120711
0.5,0.6,1.72727272727273,-0.155753336622781
0.5,0.6,1.96969696969697,-0.172531079928559
0.5,0.6,2.21212121212121,-0.187630336117569
0.5,0.6,2.45454545454545,-0.200364958895756
0.5,0.6,2.6969696969697,-0.210372519850276
0.5,0.6,2.93939393939394,-0.217598167799996
0.5,0.6,3.18181818181818,-0.222256825247478
0.5,0.6,3.42424242424242,-0.224782131570287
0.5,0.6,3.66666666666667,-0.225768765276431
0.5,0.6,3.90909090909091,-0.225913394866828
0.5,0.6,4.15151515151515,-0.22595831086853
0.5,0.6,4.39393939393939,-0.22664074743133
0.5,0.6,4.63636363636364,-0.228650008796235
0.5,0.6,4.87878787878788,-0.232593762305802
0.5,0.6,5.12121212121212,-0.238974224598711
0.5,0.6,5.36363636363636,-0.248174431771817
0.5,0.6,5.60606060606061,-0.260454337190856
0.5,0.6,5.84848484848485,-0.275956122411759
0.5,0.6,6.09090909090909,-0.294717844394293
0.5,0.6,6.33333333333333,-0.316694383644315
0.5,0.6,6.57575757575758,-0.341784605420368
0.5,0.6,6.81818181818182,-0.369863692121694
0.5,0.6,7.06060606060606,-0.400819730256545
0.5,0.6,7.3030303030303,-0.434593809857648
0.5,0.6,7.54545454545455,-0.471223079057546
0.5,0.6,7.78787878787879,-0.510886347031077
0.5,0.6,8.03030303030303,-0.553951896521225
0.5,0.6,8.27272727272727,-0.60102710345152
0.5,0.6,8.51515151515152,-0.653009218259409
0.5,0.6,8.75757575757576,-0.711136201392324
0.5,0.6,9,-0.777035801713106
0.5,0.6,9.24242424242424,-0.852770136269651
0.5,0.6,9.48484848484848,-0.940871954494032
0.5,0.6,9.72727272727273,-1.04436773584069
0.5,0.6,9.96969696969697,-1.16678210625326
0.5,0.6,10.2121212121212,-1.31211825276647
0.5,0.6,10.4545454545455,-1.48481066954654
0.5,0.6,10.6969696969697,-1.68965026070342
0.5,0.6,10.9393939393939,-1.9316878550133
0.5,0.6,11.1818181818182,-2.21613026185157
0.5,0.6,11.4242424242424,-2.5482520101768
0.5,0.6,11.6666666666667,-2.93335405864279
0.5,0.6,11.9090909090909,-3.37680617917019
0.5,0.6,12.1515151515152,-3.88421158358961
0.5,0.6,12.3939393939394,-4.46173211868266
0.5,0.6,12.6363636363636,-5.11661443890403
0.5,0.6,12.8787878787879,-5.85796947591296
0.5,0.6,13.1212121212121,-6.69788941121436
0.5,0.6,13.3636363636364,-7.65304992901094
0.5,0.6,13.6060606060606,-8.74704634165527
0.5,0.6,13.8484848484848,-10.0137990120762
0.5,0.6,14.0909090909091,-11.5020368439269
0.5,0.6,14.3333333333333,-13.2777436738782
0.5,0.6,14.5757575757576,-15.4019914467109
0.5,0.6,14.8181818181818,-17.7596012788469
0.5,0.6,15.0606060606061,-19.4023570210431
0.5,0.6,15.3030303030303,-18.7938724459936
0.5,0.6,15.5454545454545,-16.8662856811894
0.5,0.6,15.7878787878788,-15.0261833847531
0.5,0.6,16.030303030303,-13.486913776794
0.5,0.6,16.2727272727273,-12.1644969533695
0.5,0.6,16.5151515151515,-11.0093308035899
0.5,0.6,16.7575757575758,-10.0031897504992
0.5,0.6,17,-9.13489114483715
0.5,0.6,17.2424242424242,-8.3934626871195
0.5,0.6,17.4848484848485,-7.7681730298766
0.5,0.6,17.7272727272727,-7.24960631775513
0.5,0.6,17.969696969697,-6.83048205773915
0.5,0.6,18.2121212121212,-6.50619521761265
0.5,0.6,18.4545454545455,-6.27522166440343
0.5,0.6,18.6969696969697,-6.13948257034205
0.5,0.6,18.9393939393939,-6.10469733022578
0.5,0.6,19.1818181818182,-6.1807060398266
0.5,0.6,19.4242424242424,-6.38170865615615
0.5,0.6,19.6666666666667,-6.72635370523644
0.5,0.6,19.9090909090909,-7.23762731089584
0.5,0.6,20.1515151515152,-7.94253926683324
0.5,0.6,20.3939393939394,-8.87158198757985
0.5,0.6,20.6363636363636,-10.0574639771202
0.5,0.6,20.8787878787879,-11.5303982093312
0.5,0.6,21.1212121212121,-13.2989891251687
0.5,0.6,21.3636363636364,-15.2795905442432
0.5,0.6,21.6060606060606,-17.0966509144978
0.5,0.6,21.8484848484848,-17.917678875981
0.5,0.6,22.0909090909091,-17.2757924334144
0.5,0.6,22.3333333333333,-15.8475684042091
0.5,0.6,22.5757575757576,-14.3575831223075
0.5,0.6,22.8181818181818,-13.0667419127884
0.5,0.6,23.0606060606061,-12.0050588107491
0.5,0.6,23.3030303030303,-11.1256647641249
0.5,0.6,23.5454545454545,-10.3450114965915
0.5,0.6,23.7878787878788,-9.57084172961061
0.5,0.6,24.030303030303,-8.80664784322257
0.5,0.6,24.2727272727273,-8.20299502441906
0.5,0.6,24.5151515151515,-7.84940947332421
0.5,0.6,24.7575757575758,-7.69168448190868
0.5,0.6,25,-7.65244817731557
0.5,0.7,1,-0.117297151937698
0.5,0.7,1.24242424242424,-0.140057995319843
0.5,0.7,1.48484848484849,-0.16081484535499
0.5,0.7,1.72727272727273,-0.178390721086562
0.5,0.7,1.96969696969697,-0.192274253376598
0.5,0.7,2.21212121212121,-0.202462236428036
0.5,0.7,2.45454545454545,-0.209298108794825
0.5,0.7,2.6969696969697,-0.213337707742124
0.5,0.7,2.93939393939394,-0.215248792734378
0.5,0.7,3.18181818181818,-0.215739733215838
0.5,0.7,3.42424242424242,-0.215510053014516
0.5,0.7,3.66666666666667,-0.215216395056402
0.5,0.7,3.90909090909091,-0.215449285076511
0.5,0.7,4.15151515151515,-0.216717754364331
0.5,0.7,4.39393939393939,-0.219440124277412
0.5,0.7,4.63636363636364,-0.22394005926602
0.5,0.7,4.87878787878788,-0.230447451273702
0.5,0.7,5.12121212121212,-0.239103907784208
0.5,0.7,5.36363636363636,-0.249972666350709
0.5,0.7,5.60606060606061,-0.263052720757377
0.5,0.7,5.84848484848485,-0.278296872231564
0.5,0.7,6.09090909090909,-0.29563335232944
0.5,0.7,6.33333333333333,-0.314990626779612
0.5,0.7,6.57575757575758,-0.336324992521499
0.5,0.7,6.81818181818182,-0.35965062187251
0.5,0.7,7.06060606060606,-0.385071776181076
0.5,0.7,7.3030303030303,-0.412816986377423
0.5,0.7,7.54545454545455,-0.443275053906264
0.5,0.7,7.78787878787879,-0.477032734108343
0.5,0.7,8.03030303030303,-0.514913896671212
0.5,0.7,8.27272727272727,-0.558019789557429
0.5,0.7,8.51515151515152,-0.607769748898797
0.5,0.7,8.75757575757576,-0.665941302365018
0.5,0.7,9,-0.734708146844507
0.5,0.7,9.24242424242424,-0.816674038168038
0.5,0.7,9.48484848484848,-0.914900387535453
0.5,0.7,9.72727272727273,-1.03292559721855
0.5,0.7,9.96969696969697,-1.17477528125907
0.5,0.7,10.2121212121212,-1.3449649900591
0.5,0.7,10.4545454545455,-1.54850139754235
0.5,0.7,10.6969696969697,-1.79089453488801
0.5,0.7,10.9393939393939,-2.07820279758425
0.5,0.7,11.1818181818182,-2.41714418625778
0.5,0.7,11.4242424242424,-2.81532182733653
0.5,0.7,11.6666666666667,-3.28163061002031
0.5,0.7,11.9090909090909,-3.82693900245577
0.5,0.7,12.1515151515152,-4.4651862255903
0.5,0.7,12.3939393939394,-5.21512356854794
0.5,0.7,12.6363636363636,-6.10311338749722
0.5,0.7,12.8787878787879,-7.1678114230979
0.5,0.7,13.1212121212121,-8.46855514749325
0.5,0.7,13.3636363636364,-10.1019772301331
0.5,0.7,13.6060606060606,-12.2398705679718
0.5,0.7,13.8484848484848,-15.2349114766622
0.5,0.7,14.0909090909091,-20.032460510414
0.5,0.7,14.3333333333333,-31.6260830656487
0.5,0.7,14.5757575757576,-25.9793018504133
0.5,0.7,14.8181818181818,-18.3614742504786
0.5,0.7,15.0606060606061,-14.5824241561082
0.5,0.7,15.3030303030303,-12.1982580309665
0.5,0.7,15.5454545454545,-10.5665430144993
0.5,0.7,15.7878787878788,-9.41413133911856
0.5,0.7,16.030303030303,-8.59363308683353
0.5,0.7,16.2727272727273,-8.01372491082635
0.5,0.7,16.5151515151515,-7.61341234999219
0.5,0.7,16.7575757575758,-7.35069859780756
0.5,0.7,17,-7.19682004692235
0.5,0.7,17.2424242424242,-7.13299024482135
0.5,0.7,17.4848484848485,-7.14850470704898
0.5,0.7,17.7272727272727,-7.23975852315359
0.5,0.7,17.969696969697,-7.41001495541493
0.5,0.7,18.2121212121212,-7.66991036941438
0.5,0.7,18.4545454545455,-8.0387954362208
0.5,0.7,18.6969696969697,-8.5471580845634
0.5,0.7,18.9393939393939,-9.24064892123582
0.5,0.7,19.1818181818182,-10.1869048975544
0.5,0.7,19.4242424242424,-11.488278207639
0.5,0.7,19.6666666666667,-13.3095056574068
0.5,0.7,19.9090909090909,-15.9498207029873
0.5,0.7,20.1515151515152,-20.0694328542083
0.5,0.7,20.3939393939394,-27.1649326289374
0.5,0.7,20.6363636363636,-26.3008623519176
0.5,0.7,20.8787878787879,-19.8045044436706
0.5,0.7,21.1212121212121,-16.0743861280657
0.5,0.7,21.3636363636364,-13.6519736329939
0.5,0.7,21.6060606060606,-11.936859036482
0.5,0.7,21.8484848484848,-10.6565437680236
0.5,0.7,22.0909090909091,-9.66571702996055
0.5,0.7,22.3333333333333,-8.87867345127818
0.5,0.7,22.5757575757576,-8.24176749003838
0.5,0.7,22.8181818181818,-7.72035398693523
0.5,0.7,23.0606060606061,-7.29185923559171
0.5,0.7,23.3030303030303,-6.94177186940278
0.5,0.7,23.5454545454545,-6.66114188419493
0.5,0.7,23.7878787878788,-6.44489413148287
0.5,0.7,24.030303030303,-6.29058655015883
0.5,0.7,24.2727272727273,-6.19741053770931
0.5,0.7,24.5151515151515,-6.16533166038352
0.5,0.7,24.7575757575758,-6.1943382341085
0.5,0.7,25,-6.28381319453627
0.5,0.8,1,-0.128025311556352
0.5,0.8,1.24242424242424,-0.144412086840927
0.5,0.8,1.48484848484849,-0.160618492690164
0.5,0.8,1.72727272727273,-0.175537671445838
0.5,0.8,1.96969696969697,-0.18834999969699
0.5,0.8,2.21212121212121,-0.198548254480833
0.5,0.8,2.45454545454545,-0.205923141213666
0.5,0.8,2.6969696969697,-0.210524691652385
0.5,0.8,2.93939393939394,-0.2126127738154
0.5,0.8,3.18181818181818,-0.212606089376629
0.5,0.8,3.42424242424242,-0.211035147854228
0.5,0.8,3.66666666666667,-0.208501683605603
0.5,0.8,3.90909090909091,-0.205645018251582
0.5,0.8,4.15151515151515,-0.203114805841453
0.5,0.8,4.39393939393939,-0.201549162280962
0.5,0.8,4.63636363636364,-0.201557128099791
0.5,0.8,4.87878787878788,-0.203704563714407
0.5,0.8,5.12121212121212,-0.208502813116478
0.5,0.8,5.36363636363636,-0.216399728910025
0.5,0.8,5.60606060606061,-0.227772894853885
0.5,0.8,5.84848484848485,-0.242925097000866
0.5,0.8,6.09090909090909,-0.262082277558384
0.5,0.8,6.33333333333333,-0.285394359233439
0.5,0.8,6.57575757575758,-0.312939458233904
0.5,0.8,6.81818181818182,-0.344732120037195
0.5,0.8,7.06060606060606,-0.380736324245214
